Station,Month,Last 3 Year Avg Departures,Last 3 Year Avg Returns
Ympyrätalo,11,84.03225806451613,85.90322580645162
Unioninkatu,4,49.5,61.63333333333333
Unioninkatu,5,75.93548387096774,91.6774193548387
Unioninkatu,6,148.66666666666666,166.22222222222223
Unioninkatu,7,156.94623655913978,177.01075268817203
Unioninkatu,8,131.30107526881721,154.27956989247312
Unioninkatu,9,73.3,95.02222222222223
Unioninkatu,10,39.1978021978022,49.40659340659341
Unioninkatu,11,39.1978021978022,49.40659340659341
Kiasma,4,60.93333333333333,62.455555555555556
Kiasma,5,93.72043010752688,94.53763440860214
Kiasma,6,122.81111111111112,120.03333333333333
Kiasma,7,113.09677419354838,113.13978494623656
Kiasma,8,108.49462365591398,108.03225806451613
Kiasma,9,75.76666666666667,75.67777777777778
Kiasma,10,39.806451612903224,39.935483870967744
Kiasma,11,39.806451612903224,39.935483870967744
Erottaja,4,33.181113309413256,33.11101824684443
Erottaja,5,39.75761962105187,39.75697043354571
Erottaja,6,50.05596773976007,50.03646016874544
Erottaja,7,44.87509422561094,44.83906542571891
Erottaja,8,42.0579049538524,42.00460390586893
Erottaja,9,29.779280546002088,29.698641047373798
Erottaja,10,18.316620756614626,18.220855252140932
Erottaja,11,18.316620756614626,18.220855252140932
Vanha kirkkopuisto,4,61.888888888888886,62.855555555555554
Vanha kirkkopuisto,5,89.0752688172043,88.97849462365592
Vanha kirkkopuisto,6,124.14444444444445,123.65555555555555
Vanha kirkkopuisto,7,112.33333333333333,111.84946236559139
Vanha kirkkopuisto,8,125.17204301075269,124.96774193548387
Vanha kirkkopuisto,9,87.4888888888889,87.4888888888889
Vanha kirkkopuisto,10,50.645161290322584,51.17204301075269
Vanha kirkkopuisto,11,50.645161290322584,51.17204301075269
Liisanpuistikko,4,71.41111111111111,74.13333333333334
Liisanpuistikko,5,111.24731182795699,115.3763440860215
Liisanpuistikko,6,179.72222222222223,180.7888888888889
Liisanpuistikko,7,148.9247311827957,150.5268817204301
Liisanpuistikko,8,134.18279569892474,135.63440860215053
Liisanpuistikko,9,78.75555555555556,80.5111111111111
Liisanpuistikko,10,45.27173913043478,47.5
Liisanpuistikko,11,45.27173913043478,47.5
Designmuseo,4,38.53333333333333,36.644444444444446
Designmuseo,5,55.12903225806452,51.98924731182796
Designmuseo,6,62.766666666666666,61.922222222222224
Designmuseo,7,52.215053763440864,50.913978494623656
Designmuseo,8,60.17204301075269,58.946236559139784
Designmuseo,9,44.577777777777776,44.166666666666664
Designmuseo,10,28.75,27.82608695652174
Designmuseo,11,28.75,27.82608695652174
Kauppakorkeakoulu,4,63.06666666666667,61.355555555555554
Kauppakorkeakoulu,5,78.88172043010752,76.86021505376344
Kauppakorkeakoulu,6,84.25555555555556,83.76666666666667
Kauppakorkeakoulu,7,69.15555555555555,69.03333333333333
Kauppakorkeakoulu,8,79.04,79.18666666666667
Kauppakorkeakoulu,9,69.62222222222222,69.6
