Year,m,d,Time,Time zone,Precipitation amount (mm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2019,9,16,00:00,UTC,0.4,9.9,13.7,7.2
2019,9,17,00:00,UTC,0,8.5,12.1,4.7
2019,9,18,00:00,UTC,0.1,8.1,12.6,5.6
2019,9,19,00:00,UTC,1,5.9,12.8,0.9
2019,9,20,00:00,UTC,1.7,6.6,12.1,0.6
2019,9,21,00:00,UTC,1.5,8.5,10.6,5.5
2019,9,22,00:00,UTC,-1,6.1,10.4,3.2
2019,9,23,00:00,UTC,-1,5.2,11.6,-0.4
2019,9,24,00:00,UTC,3.2,6.7,10.3,3.2
2019,9,25,00:00,UTC,0.5,6.9,8.2,6.7
2019,9,26,00:00,UTC,-1,8.1,13.9,2.6
2019,9,27,00:00,UTC,-1,8.9,13.5,3.6
2019,9,28,00:00,UTC,2.3,11.3,13.7,9.1
2019,9,29,00:00,UTC,0.5,12.2,14.8,10.4
2019,9,30,00:00,UTC,8.4,12.5,14.2,11.1
2019,10,1,00:00,UTC,2.6,7.4,12.6,4.2
2019,10,2,00:00,UTC,0.2,6.5,8.8,3.3
2019,10,3,00:00,UTC,2.5,4.1,6.2,3.1
2019,10,4,00:00,UTC,0.9,2.1,4.4,1.3
2019,10,5,00:00,UTC,-1,2,5.3,-0.9
2019,10,6,00:00,UTC,-1,3.5,6.5,-0.5
2019,10,7,00:00,UTC,0.4,4.1,7.3,2
2019,10,8,00:00,UTC,-1,4.6,7.2,1.9
2019,10,9,00:00,UTC,1.2,4.4,7.9,1.2
2019,10,10,00:00,UTC,1.1,6.5,9.8,4.2
2019,10,11,00:00,UTC,31,9.9,12.7,5.3
2019,10,12,00:00,UTC,1,9.4,11.5,7.5
2019,10,13,00:00,UTC,2.2,8.4,12.2,5.4
2019,10,14,00:00,UTC,10.2,4.6,8,1.7
2019,10,15,00:00,UTC,0.8,4,7.3,-1.9
2019,10,16,00:00,UTC,0.2,6.5,8.1,4.6
2019,10,17,00:00,UTC,5.6,4.7,5.2,4.2
2019,10,18,00:00,UTC,3,7.7,10,4.6
2019,10,19,00:00,UTC,2.5,11.2,12.2,10
2019,10,20,00:00,UTC,11.9,9.4,11.1,7.7
2019,10,21,00:00,UTC,0.2,6.3,10.4,4
2019,10,22,00:00,UTC,0.1,9.1,11,2.5
2019,10,23,00:00,UTC,-1,9.5,12.2,7.1
2019,10,24,00:00,UTC,-1,10.6,12.5,9.7
2019,10,25,00:00,UTC,1,10.1,11.8,9.1
2019,10,26,00:00,UTC,12.8,7,10.7,5.4
2019,10,27,00:00,UTC,9.2,2.7,5.4,0.8
2019,10,28,00:00,UTC,1,0.6,2.5,-0.4
2019,10,29,00:00,UTC,-1,-1.8,1.4,-4.4
2019,10,30,00:00,UTC,0,-1.2,1.4,-4.5
2019,10,31,00:00,UTC,-1,3.6,5.9,-0.4
